"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
159,"2024-04-08 17:50:00","CCD","AMN","POST",3,"C","DW 241",1.5,"Detection","Auto",34.52
160,"2024-04-08 17:51:00","CCD","AMN","POST",3,"I","DW 241",1.9,"Detection","Auto",43.5
161,"2024-04-08 17:51:00","CCD","AMN","POST",3,"I","DW 241",1.3,"Detection","Auto",28.54
162,"2024-04-08 17:51:00","CCD","AMN","POST",3,"I","DW 241",1.8,"Detection","Auto",40.51
163,"2024-04-08 17:51:00","CCD","AMN","POST",3,"I","DW 241",1.1,"Detection","Auto",26.29
164,"2024-04-08 17:51:00","CCD","AMN","POST",3,"I","DW 241",0.6,"Detection","Auto",14.32
165,"2024-04-08 17:52:00","CCD","AMN","POST",3,"I","DW 241",0.7,"Detection","Auto",16.56
166,"2024-04-08 17:52:00","CCD","AMN","POST",3,"I","DW 241",0.3,"Detection","Auto",9.08
167,"2024-04-08 17:52:00","CCD","AMN","POST",3,"I","DW 241",1.2,"Detection","Auto",29.28
168,"2024-04-08 17:52:00","CCD","AMN","POST",3,"I","DW 241",1.9,"Detection","Auto",42.01
169,"2024-04-11 15:00:00","CCD","AMN","POST",30,"C","DW 239",3.4,"Detection","Auto",45
170,"2024-04-11 15:00:00","CCD","AMN","POST",30,"C","DW 239",7,"Cutoff","Auto",45
171,"2024-04-11 15:00:00","CCD","AMN","POST",30,"C","DW 239",7,"Cutoff","Auto",45
172,"2024-04-11 15:00:00","CCD","AMN","POST",30,"C","DW 239",1.3,"Detection","Auto",30.03
173,"2024-04-11 15:01:00","CCD","AMN","POST",30,"C","DW 239",2.7,"Detection","Auto",45
174,"2024-04-11 15:01:00","CCD","AMN","POST",30,"C","DW 239",3.1,"Detection","Auto",45
175,"2024-04-11 15:01:00","CCD","AMN","POST",30,"I","DW 239",0.7,"Detection","Auto",18.06
