Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3233;07/03/2025 14:05:09;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3234;07/03/2025 14:05:14;CCD;AMN;POST;TEST;DW369;3.0;Detection;Ramp;Auto;30.15;60.00;6;5;OFF;1.2;0.3;0.0
3235;07/03/2025 14:05:29;CCD;AMN;POST;TEST;DW369;0.0;Detection;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3236;07/03/2025 14:05:47;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3237;07/03/2025 14:05:52;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3238;07/03/2025 14:06:04;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.63;60.00;6;5;OFF;1.2;0.3;0.0
3239;07/03/2025 14:06:07;CCD;AMN;POST;TEST;DW369;0.2;Detection;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
3240;07/03/2025 14:06:17;CCD;AMN;POST;TEST;DW369;0.0;Detection;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3241;07/03/2025 14:06:26;CCD;AMN;POST;TEST;DW369;3.1;Detection;Ramp;Auto;31.15;60.00;6;5;OFF;1.2;0.3;0.0
3242;07/03/2025 14:07:35;CCD;AMN;POST;TEST;DW369;10.4;Manual Stop;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3243;07/03/2025 14:07:42;CCD;AMN;POST;TEST;DW369;3.4;Detection;Ramp;Auto;33.80;60.00;6;5;OFF;1.2;0.3;0.0
3244;07/03/2025 14:07:55;CCD;AMN;POST;TEST;DW369;3.6;Detection;Ramp;Auto;36.12;60.00;6;5;OFF;1.2;0.3;0.0
3245;07/03/2025 14:08:04;CCD;AMN;POST;TEST;DW369;4.8;Detection;Ramp;Auto;48.06;60.00;6;5;OFF;1.2;0.3;0.0
3246;07/03/2025 14:08:17;CCD;AMN;POST;TEST;DW369;4.7;Detection;Ramp;Auto;46.73;60.00;6;5;OFF;1.2;0.3;0.0
3247;07/03/2025 14:08:43;CCD;AMN;POST;TEST;DW369;0.2;Manual Stop;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
3248;07/03/2025 14:08:51;CCD;AMN;POST;TEST;DW369;3.4;Detection;Ramp;Auto;34.13;60.00;6;5;OFF;1.2;0.3;0.0
3249;07/03/2025 14:09:00;CCD;AMN;POST;TEST;DW369;0.1;Manual Stop;Ramp;Auto;1.29;60.00;6;5;OFF;1.2;0.3;0.0
3250;07/03/2025 14:09:03;CCD;AMN;POST;TEST;DW369;0.8;Detection;Ramp;Auto;9.26;60.00;6;5;OFF;1.2;0.3;0.0
3251;07/03/2025 14:09:14;CCD;AMN;POST;TEST;DW369;4.6;Detection;Ramp;Auto;46.07;60.00;6;5;OFF;1.2;0.3;0.0
