Session,Date,Treatment,Protocol,Stage,dayspost,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold
135,2024-04-05 19:20:00,CCD,AMN,POST,7,C,DW 240,5.0,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
136,2024-04-05 19:20:00,CCD,AMN,POST,7,C,DW 240,1.4,Detection,Ramp,Auto,31.53,45,2,5,OFF,1.2,0.1,0
137,2024-04-05 19:21:00,CCD,AMN,POST,7,C,DW 240,0.4,Detection,Ramp,Auto,10.58,45,2,5,OFF,1.2,0.1,0
138,2024-04-05 19:21:00,CCD,AMN,POST,7,C,DW 240,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
139,2024-04-05 19:22:00,CCD,AMN,POST,7,C,DW 240,2.3,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
140,2024-04-05 19:22:00,CCD,AMN,POST,7,C,DW 240,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
141,2024-04-05 19:22:00,CCD,AMN,POST,7,C,DW 240,1.3,Detection,Ramp,Auto,30.03,45,2,5,OFF,1.2,0.1,0
142,2024-04-05 19:23:00,CCD,AMN,POST,7,I,DW 240,1.7,Detection,Ramp,Auto,37.52,45,2,5,OFF,1.2,0.1,0
143,2024-04-05 19:23:00,CCD,AMN,POST,7,I,DW 240,1.0,Detection,Ramp,Auto,24.05,45,2,5,OFF,1.2,0.1,0
144,2024-04-05 19:23:00,CCD,AMN,POST,7,I,DW 240,1.1,Detection,Ramp,Auto,25.54,45,2,5,OFF,1.2,0.1,0
145,2024-04-05 19:23:00,CCD,AMN,POST,7,I,DW 240,0.5,Detection,Ramp,Auto,12.82,45,2,5,OFF,1.2,0.1,0
146,2024-04-05 19:23:00,CCD,AMN,POST,7,I,DW 240,0.8,Detection,Ramp,Auto,18.81,45,2,5,OFF,1.2,0.1,0
147,2024-04-05 19:24:00,CCD,AMN,POST,7,I,DW 240,0.6,Detection,Ramp,Auto,13.57,45,2,5,OFF,1.2,0.1,0
148,2024-04-05 19:24:00,CCD,AMN,POST,7,I,DW 240,0.5,Detection,Ramp,Auto,13.57,45,2,5,OFF,1.2,0.1,0
149,2024-04-05 19:24:00,CCD,AMN,POST,7,I,DW 240,1.2,Detection,Ramp,Auto,26.29,45,2,5,OFF,1.2,0.1,0
150,2024-04-05 19:25:00,CCD,AMN,POST,7,I,DW 240,0.8,Detection,Ramp,Auto,18.81,45,2,5,OFF,1.2,0.1,0
151,2024-04-05 19:26:00,CCD,AMN,POST,7,C,DW 240,3.0,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
152,2024-04-05 19:26:00,CCD,AMN,POST,7,C,DW 240,1.3,Detection,Ramp,Auto,30.78,45,2,5,OFF,1.2,0.1,0
153,2024-04-08 17:49:00,CCD,AMN,POST,3,C,DW 241,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
154,2024-04-08 17:49:00,CCD,AMN,POST,3,C,DW 241,4.2,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
155,2024-04-08 17:49:00,CCD,AMN,POST,3,C,DW 241,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
156,2024-04-08 17:49:00,CCD,AMN,POST,3,C,DW 241,0.9,Detection,Ramp,Auto,21.8,45,2,5,OFF,1.2,0.1,0
157,2024-04-08 17:49:00,CCD,AMN,POST,3,C,DW 241,5.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
158,2024-04-08 17:50:00,CCD,AMN,POST,3,C,DW 241,0.6,Detection,Ramp,Auto,14.32,45,2,5,OFF,1.2,0.1,0
159,2024-04-08 17:50:00,CCD,AMN,POST,3,C,DW 241,1.5,Detection,Ramp,Auto,34.52,45,2,5,OFF,1.2,0.1,0
160,2024-04-08 17:51:00,CCD,AMN,POST,3,I,DW 241,1.9,Detection,Ramp,Auto,43.5,45,2,5,OFF,1.2,0.1,0
161,2024-04-08 17:51:00,CCD,AMN,POST,3,I,DW 241,1.3,Detection,Ramp,Auto,28.54,45,2,5,OFF,1.2,0.1,0
162,2024-04-08 17:51:00,CCD,AMN,POST,3,I,DW 241,1.8,Detection,Ramp,Auto,40.51,45,2,5,OFF,1.2,0.1,0
163,2024-04-08 17:51:00,CCD,AMN,POST,3,I,DW 241,1.1,Detection,Ramp,Auto,26.29,45,2,5,OFF,1.2,0.1,0
164,2024-04-08 17:51:00,CCD,AMN,POST,3,I,DW 241,0.6,Detection,Ramp,Auto,14.32,45,2,5,OFF,1.2,0.1,0
165,2024-04-08 17:52:00,CCD,AMN,POST,3,I,DW 241,0.7,Detection,Ramp,Auto,16.56,45,2,5,OFF,1.2,0.1,0
166,2024-04-08 17:52:00,CCD,AMN,POST,3,I,DW 241,0.3,Detection,Ramp,Auto,9.08,45,2,5,OFF,1.2,0.1,0
167,2024-04-08 17:52:00,CCD,AMN,POST,3,I,DW 241,1.2,Detection,Ramp,Auto,29.28,45,2,5,OFF,1.2,0.1,0
168,2024-04-08 17:52:00,CCD,AMN,POST,3,I,DW 241,1.9,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
169,2024-04-11 15:00:00,CCD,AMN,POST,30,C,DW 239,3.4,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
170,2024-04-11 15:00:00,CCD,AMN,POST,30,C,DW 239,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
171,2024-04-11 15:00:00,CCD,AMN,POST,30,C,DW 239,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
172,2024-04-11 15:00:00,CCD,AMN,POST,30,C,DW 239,1.3,Detection,Ramp,Auto,30.03,45,2,5,OFF,1.2,0.1,0
173,2024-04-11 15:01:00,CCD,AMN,POST,30,C,DW 239,2.7,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
174,2024-04-11 15:01:00,CCD,AMN,POST,30,C,DW 239,3.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
175,2024-04-11 15:01:00,CCD,AMN,POST,30,I,DW 239,0.7,Detection,Ramp,Auto,18.06,45,2,5,OFF,1.2,0.1,0
176,2024-04-11 15:03:00,CCD,AMN,POST,30,I,DW 239,0.6,Detection,Ramp,Auto,15.07,45,2,5,OFF,1.2,0.1,0
177,2024-04-11 15:03:00,CCD,AMN,POST,30,I,DW 239,0.4,Detection,Ramp,Auto,10.58,45,2,5,OFF,1.2,0.1,0
178,2024-04-11 15:04:00,CCD,AMN,POST,30,I,DW 239,0.5,Detection,Ramp,Auto,12.82,45,2,5,OFF,1.2,0.1,0
