Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent,Response,SurgeryDate,DayNumber
3220,2025-07-03 14:03:22,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.63,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3221,2025-07-03 14:03:25,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3222,2025-07-03 14:03:31,CCD,AMN,POST,TEST,DW369,0.3,Manual Stop,Ramp,Auto,2.62,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3223,2025-07-03 14:03:33,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3224,2025-07-03 14:03:36,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3225,2025-07-03 14:03:41,CCD,AMN,POST,TEST,DW369,2.4,Detection,Ramp,Auto,25.17,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3226,2025-07-03 14:04:08,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3227,2025-07-03 14:04:11,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3228,2025-07-03 14:04:14,CCD,AMN,POST,TEST,DW369,0.5,Detection,Ramp,Auto,6.27,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3229,2025-07-03 14:04:20,CCD,AMN,POST,TEST,DW369,2.6,Detection,Ramp,Auto,26.5,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3230,2025-07-03 14:04:53,CCD,AMN,POST,TEST,DW369,1.6,Detection,Ramp,Auto,16.55,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3231,2025-07-03 14:04:56,CCD,AMN,POST,TEST,DW369,0.1,Detection,Ramp,Auto,1.63,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3232,2025-07-03 14:05:06,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.63,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3233,2025-07-03 14:05:09,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3234,2025-07-03 14:05:14,CCD,AMN,POST,TEST,DW369,3.0,Detection,Ramp,Auto,30.15,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3235,2025-07-03 14:05:29,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3236,2025-07-03 14:05:47,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3237,2025-07-03 14:05:52,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3238,2025-07-03 14:06:04,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.63,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3239,2025-07-03 14:06:07,CCD,AMN,POST,TEST,DW369,0.2,Detection,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3240,2025-07-03 14:06:17,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3241,2025-07-03 14:06:26,CCD,AMN,POST,TEST,DW369,3.1,Detection,Ramp,Auto,31.15,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
